Date,m3t
21-Nov-2024 21:02:23,3.3270098
21-Nov-2024 21:07:11,3.0614999
21-Nov-2024 21:11:59,2.4542125
21-Nov-2024 21:16:47,2.4165201
21-Nov-2024 21:21:35,3.0178388
21-Nov-2024 21:26:23,2.5023328
21-Nov-2024 21:31:11,1.8746867
21-Nov-2024 21:36:00,2.1611722
21-Nov-2024 21:40:47,2.6838462
21-Nov-2024 21:45:35,2.5748352
21-Nov-2024 21:50:24,2.7236296
21-Nov-2024 21:55:11,3.3813165
21-Nov-2024 21:59:59,3.6263736
21-Nov-2024 22:04:47,2.6876923
21-Nov-2024 22:09:35,3.2995604
21-Nov-2024 22:14:23,3.4923977
21-Nov-2024 22:19:12,3.3422959
21-Nov-2024 22:23:59,2.5396825
21-Nov-2024 22:28:47,3.1066667
21-Nov-2024 22:33:36,2.7972161
21-Nov-2024 22:38:23,2.7082578
21-Nov-2024 22:43:11,2.4967376
21-Nov-2024 22:47:59,2.2262922
21-Nov-2024 22:52:47,1.9948718
21-Nov-2024 22:57:35,1.5025641
21-Nov-2024 23:02:23,1.8123
21-Nov-2024 23:07:11,1.6972688
21-Nov-2024 23:11:59,1.9291819
21-Nov-2024 23:16:48,2.5403297
21-Nov-2024 23:21:35,2.7196703
21-Nov-2024 23:26:23,2.4798406
21-Nov-2024 23:31:12,2.9002335
21-Nov-2024 23:35:59,2.8530729
21-Nov-2024 23:40:47,2.5969963
21-Nov-2024 23:45:35,1.8866667
21-Nov-2024 23:50:23,2.0314119
21-Nov-2024 23:55:11,2.2069618
22-Nov-2024 00:00:00,1.6931217
22-Nov-2024 00:00:00,1.6931217
22-Nov-2024 00:04:47,2.0740659
22-Nov-2024 00:09:35,1.7997802
22-Nov-2024 00:14:24,1.3883941
22-Nov-2024 00:19:11,1.4679262
22-Nov-2024 00:23:59,1.5506716
22-Nov-2024 00:28:47,1.5240293
22-Nov-2024 00:33:35,1.5451282
22-Nov-2024 00:38:23,1.4828353
22-Nov-2024 00:43:11,1.3747617
22-Nov-2024 00:47:59,1.6931217
22-Nov-2024 00:52:47,1.5801465
22-Nov-2024 00:57:36,1.3621245
22-Nov-2024 01:02:23,1.3991389
22-Nov-2024 01:07:11,1.464516
22-Nov-2024 01:12:00,1.4407814
22-Nov-2024 01:16:47,1.4102564
22-Nov-2024 01:21:35,1.4102564
22-Nov-2024 01:26:23,1.4002956
22-Nov-2024 01:31:11,1.5080093
22-Nov-2024 01:35:59,1.5262515
22-Nov-2024 01:40:47,2.0370696
22-Nov-2024 01:45:35,1.3759707
22-Nov-2024 01:50:23,1.3792173
22-Nov-2024 01:55:12,1.4099351
22-Nov-2024 01:59:59,1.961742
22-Nov-2024 02:04:47,1.5629304
22-Nov-2024 02:09:35,1.4504029
22-Nov-2024 02:14:23,1.5046591
22-Nov-2024 02:19:11,1.393141
22-Nov-2024 02:23:59,1.4204314
22-Nov-2024 02:28:47,1.4102564
22-Nov-2024 02:33:35,1.4102564
22-Nov-2024 02:38:24,1.380374
22-Nov-2024 02:43:11,1.319324
22-Nov-2024 02:47:59,1.3797314
22-Nov-2024 02:52:48,1.467326
22-Nov-2024 02:57:35,1.6712821
22-Nov-2024 03:02:23,1.4856115
22-Nov-2024 03:07:11,1.4871195
22-Nov-2024 03:11:59,1.6971917
22-Nov-2024 03:16:47,1.5099267
22-Nov-2024 03:21:35,1.5837729
22-Nov-2024 03:26:23,1.3840756
22-Nov-2024 03:31:11,1.6600218
22-Nov-2024 03:36:00,1.3593814
22-Nov-2024 03:40:47,1.4283883
22-Nov-2024 03:45:35,1.4108059
22-Nov-2024 03:50:24,1.4401388
22-Nov-2024 03:55:11,1.4287
22-Nov-2024 03:59:59,1.5710216
